,test_000,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034
train_022,0.4870160222053528,0.5116552710533142,0.49779847264289856,0.4859309792518616,0.4758610129356384,0.468212753534317,0.4906071424484253,0.4996923804283142,0.49470242857933044,0.48770326375961304,0.48695433139801025,0.4960256814956665,0.579048752784729,0.5486966967582703,0.5411614179611206,0.5374698638916016,0.5481935739517212,0.5377200841903687,0.5627676248550415,0.5644176602363586,0.5663480162620544,0.5897059440612793,0.7260633707046509,0.5463691353797913,0.538304328918457,0.5360223054885864,0.549185037612915,0.5428779721260071,0.5268195867538452,0.5256115198135376,0.5148084163665771,0.4658646285533905,0.45990636944770813,0.469533234834671,0.36819469928741455
train_023,0.4752140939235687,0.5089372396469116,0.49496933817863464,0.4852948784828186,0.4748713970184326,0.4692384600639343,0.494344562292099,0.4956314265727997,0.5046352744102478,0.4918496906757355,0.499743789434433,0.5046417713165283,0.5661069750785828,0.5539765954017639,0.542114794254303,0.5478059649467468,0.5352418422698975,0.5441883206367493,0.5686818361282349,0.5593076348304749,0.543410062789917,0.5817970037460327,0.5774305462837219,0.7114969491958618,0.5825502872467041,0.5686172246932983,0.5660834908485413,0.5559660792350769,0.5472142696380615,0.5381230115890503,0.5314269065856934,0.4969468414783478,0.4872031509876251,0.4988898038864136,0.3954888582229614
train_024,0.4723806381225586,0.5034708976745605,0.4968999922275543,0.48320770263671875,0.4789000153541565,0.464237242937088,0.49223047494888306,0.4967954456806183,0.49896806478500366,0.48725175857543945,0.48928067088127136,0.4992583692073822,0.5655065774917603,0.546190083026886,0.5268541574478149,0.5202816128730774,0.5205078721046448,0.5227497816085815,0.5497196316719055,0.5338152647018433,0.5316145420074463,0.5534027218818665,0.5537363290786743,0.5776016116142273,0.6770645976066589,0.5611136555671692,0.5553638935089111,0.5560587644577026,0.5485188961029053,0.5362293720245361,0.5396906137466431,0.511669933795929,0.493430495262146,0.5075570940971375,0.391893208026886
train_025,0.4766007959842682,0.5066176056861877,0.49825960397720337,0.4875349700450897,0.4844213128089905,0.4750638008117676,0.49318158626556396,0.5018796920776367,0.49865812063217163,0.4964296817779541,0.498373806476593,0.5059283971786499,0.5710517168045044,0.5599126815795898,0.5320031046867371,0.5211527347564697,0.5190567970275879,0.5192180275917053,0.5391965508460999,0.539118766784668,0.5210227370262146,0.5475345849990845,0.5546789169311523,0.5686749219894409,0.5731827616691589,0.6802440881729126,0.5764442086219788,0.576999843120575,0.5647417306900024,0.5658026337623596,0.563614010810852,0.5372284054756165,0.5285125970840454,0.5388393402099609,0.41964244842529297
train_026,0.47257480025291443,0.5067157745361328,0.4917072355747223,0.48526647686958313,0.4743216335773468,0.46476465463638306,0.48949435353279114,0.49768197536468506,0.489136666059494,0.49266836047172546,0.4862903356552124,0.4997926950454712,0.5802505016326904,0.5552754998207092,0.5312936902046204,0.5190209150314331,0.5205873250961304,0.5233030319213867,0.5450009107589722,0.5340594053268433,0.5296400189399719,0.5528138279914856,0.5662720799446106,0.5584886074066162,0.5617496371269226,0.5790692567825317,0.6903661489486694,0.5824942588806152,0.5724883675575256,0.5718898773193359,0.5668370127677917,0.5372927188873291,0.5299869179725647,0.5386031270027161,0.42078158259391785
train_027,0.4825294613838196,0.508674681186676,0.5020186305046082,0.5044230818748474,0.4927821159362793,0.47743386030197144,0.5009475350379944,0.5105619430541992,0.5024042129516602,0.5000119805335999,0.4995139241218567,0.5027620196342468,0.5848435163497925,0.554205060005188,0.5419557690620422,0.5285038352012634,0.5308164358139038,0.530671238899231,0.5446904301643372,0.5414072871208191,0.5322145819664001,0.5477991104125977,0.563302755355835,0.5604766607284546,0.5575096011161804,0.586287260055542,0.5926085710525513,0.6868465542793274,0.582487165927887,0.5816419720649719,0.5854032635688782,0.5544365048408508,0.5444621443748474,0.5603549480438232,0.4398757517337799
train_028,0.4627005159854889,0.4868909418582916,0.48537224531173706,0.48463451862335205,0.4644469618797302,0.46134474873542786,0.47598257660865784,0.4870010316371918,0.48785582184791565,0.48990052938461304,0.47680819034576416,0.48702967166900635,0.5739805102348328,0.5399287939071655,0.5325750112533569,0.5291761159896851,0.5286332964897156,0.5222136378288269,0.5428411960601807,0.5419953465461731,0.5242756605148315,0.5436825752258301,0.5594631433486938,0.5551695227622986,0.5720129609107971,0.5914139747619629,0.5972344875335693,0.6038739681243896,0.6957202553749084,0.5988851189613342,0.5922899842262268,0.5781464576721191,0.5640000700950623,0.5824909210205078,0.45657679438591003
train_029,0.4543132483959198,0.4857882857322693,0.4833256006240845,0.4840609133243561,0.471248596906662,0.46020203828811646,0.4787212908267975,0.48853936791419983,0.4758501946926117,0.4823625981807709,0.4790591597557068,0.4858081638813019,0.5665304660797119,0.5365045070648193,0.5182167291641235,0.5163782238960266,0.5041001439094543,0.5095466375350952,0.5285428762435913,0.5193893313407898,0.5051683187484741,0.5340916514396667,0.5486453175544739,0.5481804609298706,0.5533084869384766,0.5779814720153809,0.5905854105949402,0.5942661762237549,0.5886014103889465,0.6854138374328613,0.5856673717498779,0.5675058960914612,0.5604345202445984,0.5760732293128967,0.4438886046409607
train_030,0.46041139960289,0.48808372020721436,0.48091962933540344,0.4774686098098755,0.46055856347084045,0.45622384548187256,0.47889915108680725,0.48540523648262024,0.48651692271232605,0.47833824157714844,0.47815075516700745,0.4818103611469269,0.5666951537132263,0.5271894335746765,0.5112035870552063,0.4995694160461426,0.5037099719047546,0.513116180896759,0.5282334685325623,0.5140430331230164,0.4971946179866791,0.5249375104904175,0.5349442958831787,0.5419178605079651,0.5509624481201172,0.5703251957893372,0.5786092877388,0.5851248502731323,0.5836289525032043,0.589297354221344,0.6784095764160156,0.5727086663246155,0.5664350390434265,0.5777996182441711,0.44883131980895996
train_031,0.41755443811416626,0.4481326937675476,0.4438633918762207,0.44198980927467346,0.43808192014694214,0.425838440656662,0.44397690892219543,0.45539018511772156,0.45240601897239685,0.4541318416595459,0.4576374590396881,0.4558185040950775,0.5239567756652832,0.49725183844566345,0.48189112544059753,0.4813217222690582,0.46991202235221863,0.4729715883731842,0.5013065338134766,0.48824232816696167,0.4619676172733307,0.5007078051567078,0.5107359886169434,0.5243597626686096,0.5365113615989685,0.55906081199646,0.5670704245567322,0.5697763562202454,0.575103759765625,0.5818910598754883,0.5798313021659851,0.676601231098175,0.5725736618041992,0.591412365436554,0.4495945870876312
