train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
4,17,13,0,0,5,0.065795,157,-1,0.49113717675209045
4,18,14,0,0,5,0.061992,158,-1,0.5020473003387451
4,19,15,0,0,5,0.060331,159,-1,0.49815258383750916
4,20,16,0,0,2,0.082201,160,-1,0.44145339727401733
4,21,17,0,0,2,0.109907,161,-1,0.4461000859737396
4,22,18,0,0,2,0.160984,162,-1,0.392982542514801
4,23,19,0,0,6,0.167804,163,-1,0.37632206082344055
4,24,20,0,0,6,0.142792,164,-1,0.38796305656433105
4,25,21,0,0,6,0.169868,165,-1,0.3918842077255249
4,26,22,0,0,6,0.187032,166,-1,0.3847224712371826
4,27,23,0,0,6,0.187096,167,-1,0.40183499455451965
4,28,24,0,0,1,0.219061,168,-1,0.3822450637817383
4,29,25,0,0,1,0.23884,169,-1,0.37449589371681213
4,30,26,0,0,1,0.234755,170,-1,0.38500919938087463
4,31,27,0,0,1,0.316769,171,-1,0.3443974554538727
4,32,28,0,0,1,0.324149,172,-1,0.3383256196975708
4,33,29,0,0,1,0.329599,173,-1,0.34686097502708435
4,34,30,0,0,4,0.312772,174,-1,0.2842079699039459
5,0,5,1,0,0,0.003147,5,-1,0.6352964043617249
5,1,4,1,0,0,0.003333,40,-1,0.6462008357048035
5,2,3,1,0,0,0.005266,75,-1,0.6454300880432129
5,3,2,1,0,0,0.001188,110,-1,0.6522564888000488
5,4,1,1,0,0,0.000814,145,-1,0.638435959815979
5,6,1,1,0,0,0.000781,181,-1,0.6374111771583557
5,7,2,1,0,0,0.003719,182,-1,0.6446722745895386
5,8,3,0,0,3,0.003512,183,-1,0.6304036974906921
5,9,4,0,0,3,0.003009,184,-1,0.6227139830589294
5,10,5,0,0,3,0.002603,185,-1,0.6399521827697754
5,11,6,0,0,3,0.003476,186,-1,0.6197242140769958
5,12,7,0,0,5,0.037533,187,-1,0.6140465140342712
5,13,8,0,0,5,0.024108,188,-1,0.6285144686698914
5,14,9,0,0,5,0.042247,189,-1,0.5026702880859375
5,15,10,0,0,5,0.043635,190,-1,0.5143533945083618
5,16,11,0,0,5,0.055594,191,-1,0.4863981604576111
5,17,12,0,0,5,0.061011,192,-1,0.4965747594833374
5,18,13,0,0,5,0.058499,193,-1,0.5001934766769409
5,19,14,0,0,5,0.056838,194,-1,0.4980926215648651
5,20,15,0,0,2,0.078938,195,-1,0.43976259231567383
5,21,16,0,0,2,0.104423,196,-1,0.44376498460769653
5,22,17,0,0,2,0.153841,197,-1,0.39371588826179504
5,23,18,0,0,6,0.157031,198,-1,0.37791815400123596
5,24,19,0,0,6,0.132778,199,-1,0.38933104276657104
5,25,20,0,0,6,0.157163,200,-1,0.3930381238460541
5,26,21,0,0,6,0.173874,201,-1,0.3813280165195465
5,27,22,0,0,6,0.17421,202,-1,0.39759597182273865
5,28,23,0,0,1,0.205402,203,-1,0.38306495547294617
5,29,24,0,0,1,0.225143,204,-1,0.3757305443286896
5,30,25,0,0,1,0.222045,205,-1,0.3859958052635193
5,31,26,0,0,1,0.301466,206,-1,0.34465476870536804
5,32,27,0,0,1,0.307729,207,-1,0.3360164761543274
5,33,28,0,0,1,0.312708,208,-1,0.3488529920578003
5,34,29,0,0,4,0.289557,209,-1,0.28673258423805237
6,0,6,1,0,0,0.003617,6,-1,0.6336366534233093
6,1,5,1,0,0,0.003156,41,-1,0.6535263061523438
6,2,4,1,0,0,0.00611,76,-1,0.6483767032623291
